#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Detected Sprint,Resolved Sprint,Technology,Defect Category,Probable Cause,Type of Bug,Is Regression Bug?,Severity,Private
1567,Data Production,Bug,"",Closed,Normal,Data Production-->Data Delivery Schedule-->Application is allowing user to open pop up when edit pop up is open,Tejas Chaudhari,Shubham Jain,03/02/2017 04:31 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 06:05 PM,03/02/2017 04:31 PM,"",Sprint 21,Sprint 20,UI/UX,UI,Unit testing not done,Functional,false,Moderate,false
1566,Data Production,Bug,"",Closed,Normal,Filter -> Output results in filter is not working if user use split functionality in template,Shubham Jain,Shubham Jain,03/01/2017 01:16 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 06:04 PM,03/01/2017 01:16 PM,"",Sprint 21,"",.Net,"","",Functional,false,Moderate,false
1565,Data Production,Bug,"",Closed,Normal,"PROPOSALS > DETAILS > CONVERT TO CONTRACT > If user upload file with a valid media type then an error is occur as ""Media type does not exist in system""",Shubham Jain,Shubham Jain,03/02/2017 12:57 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 05:33 PM,03/02/2017 12:57 PM,"",Sprint 21,"",.Net,"","",Functional,false,Moderate,false
1564,Data Production,Bug,"",Closed,High,Create/Update TEMPLATE -> Report Columns -> Append extra columns -> Seperation with space is not showing fine output in report,Shubham Jain,Shubham Jain,03/01/2017 01:16 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 04:16 PM,03/01/2017 01:16 PM,"",Sprint 21,"","","","",Functional,false,Moderate,false
1563,Data Production,Bug,"",Closed,Normal,Data Production-->Report Delivery Schedule-->Report Columns:Application is displaying invalid result when split string filter is applied,Tejas Chaudhari,Shubham Jain,03/01/2017 07:48 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 03:18 PM,03/01/2017 07:48 PM,"",Sprint 21,Sprint 20,Angular,Logical,Unit testing not done,Functional,false,Moderate,false
1562,Data Production,Bug,"",Closed,High,Data Production-->Report Delivery Schedule-->Report Columns-->Application is not allowing user to enter more than 10 characters in replace field ,Tejas Chaudhari,Shubham Jain,03/01/2017 06:38 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 02:33 PM,03/01/2017 06:38 PM,"",Sprint 21,Sprint 20,Angular,Logical,Impact Analysis not done,Functional,false,Major,false
1561,Data Production,Bug,"",Closed,Normal,Filter -> Split String -> other -> After sumit when user reopen the filter then other tab is gone,Shubham Jain,Shubham Jain,03/01/2017 08:04 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 02:29 PM,03/01/2017 08:04 PM,"",Sprint 21,Sprint 20,Angular,UI,Unit testing not done,Functional,false,Moderate,false
1560,Data Production,Bug,"",New,Normal,Filter -> Replace Functionality with \ and + is not working,Shubham Jain,Ketaki Yeolekar,02/28/2017 03:02 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 02:23 PM,"","",Sprint 21,"",Angular,"","",Functional,false,Moderate,false
1559,Data Production,Bug,"",Closed,High,"On adding note, 400 error appears with error message - Invalid Input Parameters",Udip Chatterjee,Shubham Jain,03/02/2017 03:56 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 01:42 PM,03/02/2017 03:56 PM,"",Sprint 21,Sprint 20,Angular,Logical,Unit testing not done,Functional,false,Major,false
1558,Data Production,Bug,"",Closed,Normal,Irrelevant delivery date appears on adding delivery with blank delivery date.,Udip Chatterjee,Shubham Jain,03/02/2017 03:59 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 01:35 PM,03/02/2017 03:59 PM,"",Sprint 21,Sprint 20,Angular,Logical,Unit testing not done,Functional,false,Major,false
